Customer,Birth_Year,Highest_Education,Marital_Status,Household_Income ,Kid_home,Teen_home,Enrollment_Date,Last_purchase,AmountFruits,AmountMeat,AmountFish,AmountSweet,AmountGold,Deals,Web,Catalog,Store,WebVisits,ad1,ad2,ad3,ad4,ad5,ad6,Complain,Location
0,1985,Graduation,Married,"$70,951.00 ",0,0,5/4/2013,66,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,SA
1,1961,Graduation,Single,"$57,091.00 ",0,0,6/15/2014,0,5,64,7,0,37,1,7,3,7,5,0,1,0,0,0,1,0,CA
13,1947,PhD,Widow,"$25,358.00 ",0,1,7/22/2013,57,0,5,0,0,8,2,1,0,3,6,0,0,0,0,0,0,0,SA
25,1958,Graduation,Married,"$65,148.00 ",0,1,11/16/2012,9,35,422,33,12,153,2,6,6,7,4,0,0,0,0,0,0,0,CA
35,1987,Graduation,Married,"$25,545.00 ",1,0,9/8/2012,35,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,1,0,SP
49,1970,Graduation,Single,"$20,587.00 ",1,0,5/11/2014,39,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,CA
67,1972,Master,Single,"$46,423.00 ",1,1,9/18/2013,6,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
75,1982,2n Cycle,Together,"$41,039.00 ",0,0,7/25/2013,32,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,US
78,1969,Graduation,Married,"$25,293.00 ",1,0,9/15/2013,51,0,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,0,SP
87,1981,2n Cycle,Married,"$27,733.00 ",1,0,8/26/2013,16,7,5,26,2,17,2,2,0,3,7,0,0,0,0,0,0,0,GER
89,1975,2n Cycle,Married,"$22,212.00 ",1,0,12/9/2013,49,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,SA
92,1988,Graduation,Alone,"$34,176.00 ",1,0,5/12/2014,12,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,CA
113,1951,Graduation,Married,"$30,833.00 ",1,1,7/16/2013,33,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,SP
115,1966,Master,Single,"$43,456.00 ",0,1,3/26/2013,0,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND
125,1958,2n Cycle,Together,"$53,083.00 ",1,1,5/15/2013,65,7,33,3,0,13,6,5,1,5,7,0,0,0,1,0,0,0,IND
